ID	NAME	COST	ADDRESS	PHONE	WAITTIME	RATING	TIMEOFDAY	LOCATION	FOODTYPE
1	Sushi Hana	$$	403 N Higgins Ave	406-549-7979	30	3	"Day, Evening"	Downtown	Asian
2	Nara Korean BBQ & Sushi	$$	N. Reserve St. Ste. K 	406-541-0731	30	4	"Day, Evening"	North Reserve	Asian
3	Noodle Express	$	2000 West Broadway St.	406-541-7333	15	4	"Day, Evening"	Broadway	Asian
4	The Thomas Meaghar Bar	$$	130 W Pine	406-540-4402	30	4	"Day, Evening, Late"	Downtown	Irish
5	Stone of Accord	$$	4591 N Reserve St	406-830-3210	30	4	"Breakfast, Day, Evening"	North Reserve	Irish
6	Five Guys	$	820 E Broadway St	406-830-3262	15	4	"Day, Evening, Late"	Broadway	Burgers
7	Fuddruckers	$	2805 N Reserve St	406-721-4577	15	4	"Day, Evening"	North Reserve	Burgers
8	McDonalds	$	3310 Brooks St	406-728-4291	15	3	"Breakfast, Day, Evening, Late"	Brooks	Burgers
9	El Cazador	$$	101 S Higgins Ave	406-728-3657	30	4	"Day, Evening"	Downtown	Mexican
10	Five On Black	$	325 N Higgins Ave	406-926-1860	15	5	"Day, Evening"	Downtown	Mexican
11	Taco Sano	$	115 1/2 W 4th St	406-541-7570	15	4	"Breakfast, Day, Evening"	Higgins	Mexican
12	Uptown Diner	$	120 N Higgins Ave	406-542-2449	30	3	"Breakfast, Day, Evening"	Downtown	Diner
13	Catalyst Espresso 	$$	111 N Higgins Ave	406-542-1337	30	5	"Breakfast, Day"	Downtown	Diner
14	Baba's Burgers and Gyros	$	744 E Broadway	406-542-4779	15	4	"Day, Evening, Late"	Broadway	Greek
15	Ciao Mambo	$$	541 S Higgins St	406-543-0377	30	4	"Day, Evening"	Higgins	Italian
