ID	NAME	COST	ADDRESS	PHONE	WAITTIME	RATING	TIMEOFDAY	LOCATION	FOODTYPE	PHOTO
1	Sushi Hana	$$	403 N Higgins Ave	406-549-7979	30	3	Day & Evening	Downtown	Asian	SushiHana.jpg
2	Iza Restaurant	$$	529 S Higgins Ave	406-830-3237	30	4	Day & Evening	Higgins	Asian	Iza.jpg
3	Vietnam Grill	$	420 N Higgins Ave	406-721-3410	15	4	Day & Evening	Downtown	Asian	VietnamGrill.jpg
4	HuHot Monogolian Grill	$$	3521 Brooks St	406-829-8888	30	4	Day & Evening	Brooks	Asian	HuHot.jpeg
5	Noodle Express	$	2000 W Broadway St	406-541-7333	15	4	Day & Evening	Broadway	Asian	NoodleExpress.jpeg
6	Sa Wad Dee	$$	221 W Broadway St	406-543-9966	30	4	Day & Evening	Downtown	Asian	SaWadDee.jpeg
7	Chops Teriyaki	$	135 W Broadway	406-493-0230	15	3	Day & Evening	Downtown	Asian	ChopsTeriyaki.jpeg
8	Mustard Seed Asian Cafe	$$	Southgate Mall	406-542-7333	30	3	Day & Evening	Brooks	Asian	MustardSeed.jpeg
9	Desperado Sports Tavern	$	3101 S Russell St	406-549-9651	30	4	Day & Evening	Russell	Burgers	Desperado.jpeg
10	Fuddruckers	$	2805 N Reserve St	406-721-4577	15	4	Day & Evening	North Reserve	Burgers	Fuddruckers.jpg
11	James Bar	$$	127 W Alder St	406-721-8158	30	4	Day & Evening	Downtown	Burgers	JamesBar.jpg
12	Five Guys Burgers and Fries	$	820 E Broadway St	406-830-3262	15	4	Day & Evening	Broadway	Burgers	FiveGuys.jpg
13	Uptown Diner	$	120 N Higgins Ave	406-542-2449	15	3	Breakfast, Day, & Evening	Downtown	Diner	UptownDiner.jpg
14	Denny's	$$	2922 Brooks St	406-829-8500	15	3	Breakfast, Day, & Evening	Brooks	Diner	Dennys.png
15	Paul Pancake Parlor	$	2305 Brooks St	406-728-9071	15	4	"Breakfast, Day, & Evening"	Brooks	Diner	PaulsPancake.jpg
16	IHOP	$	3700 N Reserve St	406-541-4467	15	2	Breakfast, Day, & Evening	North Reserve	Diner	IHOP.jpg
17	Catalyst Espresso	$$	111 N Higgins Ave	406-542-1337	30	5	Breakfast & Day	Downtown	Diner	Catalyst.jpg
18	Ruby's Cafe	$	2101 Regent St	406-728-9890	30	3	Breakfast, Day, & Evening	Brooks	Diner	Rubys.jpg
19	Greek Gyros & Pastry Shop	$	520 S 5th St W	406-543-6843	15	5	Day & Evening	Orange	Greek	Gyros.jpg
20	Baba's Burgers & Gyros	$	744 E Broadway	406-542-4779	15	5	Day & Evening	Broadway	Greek	Babas.jpg
21	Ambrosia	$	2230 N Reserve St	406-542-7072	15	4	Day & Evening	North Reserve	Greek	ambrosia.jpg
22	Acropolis Gyros & Greek Specialties	$	117 South Ave W	406-721-5041	15	4	Day & Evening	Higgins	Greek	Acropolis.jpg
23	Sean Kelly's Stone of Accord	$$	4591 N Reserve St	406-830-3210	30	4	Breakfast, Day, & Evening	North Reserve	Irish	Stone.jpg
24	The Thomas Meagher Bar	$$	130 W Pine	406-540-4402	30	4	Day & Evening	Downtown	Irish	Meagher.jpg
25	Ciao Mambo	$$	541 S Higgins St	406-543-0377	30	4	Day & Evening	Higgins	Italian	Ciao.jpg
26	Biga Pizza	$$	241 W Main St	406-728-2579	30	5	Day & Evening	Downtown	Italian	Biga.jpg
27	Caffe Dolce	$$	2901 Brooks St (Southgate Mall)	406-549-4914	15	4	Breakfast, Day, & Evening	Brooks	Italian	Dolce2.jpg
28	Caffe Dolce	$$	500 Brooks St	406-830-3055	30	4	Breakfast, Day, & Evening	Brooks	Italian	Dolce.jpg
29	Bridge Pizza	$	600 S Higgins Ave	406-542-0002	15	4	Day & Evening	Higgins	Italian	Bridge.jpg
30	Johnny Carino's	$$	3630 N Reserve	406-541-7900	30	3	Day & Evening	North Reserve	Italian	Johnny.jpg
31	Romeo's Italian Kitchen	$$	919 SW Higgins Ave	406-721-1500	30	3	Day & Evening	Higgins	Italian	Romeo.jpg
32	Viva Mexico	$	2221 South Ave W	406-549-3651	30	5	Day & Evening	South Reserve	Mexican	Viva.jpeg
33	El Cazador	$$	101 S Higgins Ave	406-728-3657	30	4	Day & Evening	Downtown	Mexican	ElCazador.jpg
34	El Diablo	$	1429 S Higgins Ave	406-728-9529	15	4	Day & Evening	Higgins	Mexican	ElDiablo.jpg
35	Fiesta En Jalisco	$$	3701 Brooks St	406-728-1323	30	4	Day & Evening	Brooks	Mexican	Fiesta.jpg
36	Taco Sano	$	115 1/2 W 4th St	406-541-7570	15	4	Breakfast, Day, & Evening	Higgins	Mexican	TacoSano.jpg
37	Cafe Rio Mexican Grill	$$	2230 N Reserve St	406-829-5190	15	4	Day & Evening	North Reserve	Mexican	CafeRio.jpg
38	Taco Del Sol	$	1116 W Cental Ave	406-543-2907	15	4	Day & Evening	Russell	Mexican	TacoDelSol.jpg
									 	
